,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
2235,Tây Hồ,Yên Phụ,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,24.0,8.0,4.0,112.5
2244,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.0,102.86
2248,Huyện Thanh Trì,Xã Thanh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,30.0,10.0,3.0,76.67
2254,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,42.0,12.0,3.5,67.86
2288,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,5,3,29.0,9.0,3.5,100.0
2295,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.5,82.86
2333,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,3,3,40.0,10.0,3.8,83.75
2385,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,41.0,6.0,7.0,63.41
2392,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,5,44.0,11.0,4.0,95.45
2401,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,4,37.0,11.0,3.4,70.27
2402,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,4,48.0,12.0,4.0,81.25
2408,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,85.71
2414,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,9.0,4.0,84.29
2419,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,11.5,3.4,70.83
2437,Long Biên,Ngọc Thụy,Nhà phố liền kề,Đã có sổ,5,3,32.0,9.0,3.5,84.38
2456,Hoàng Mai,Trần Phú,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,97.14
